id,type,attributes/title,attributes/creator_tesi/id,attributes/creator_tesi/type,attributes/creator_tesi/attributes/value,attributes/creator_tesi/attributes/label,attributes/dat_tesi/id,attributes/dat_tesi/type,attributes/dat_tesi/attributes/value,attributes/dat_tesi/attributes/label,attributes/description_ts/id,attributes/description_ts/type,attributes/description_ts/attributes/value,attributes/description_ts/attributes/label,attributes/contributing_organization_tesi/id,attributes/contributing_organization_tesi/type,attributes/contributing_organization_tesi/attributes/value,attributes/contributing_organization_tesi/attributes/label,attributes/type_tesi/id,attributes/type_tesi/type,attributes/type_tesi/attributes/value,attributes/type_tesi/attributes/label,attributes/physical_format_tesi/id,attributes/physical_format_tesi/type,attributes/physical_format_tesi/attributes/value,attributes/physical_format_tesi/attributes/label,links/self
nico:1626,Text,"A Bill for the Removal of the Capitol of the Territory or Future State of Minnesota, and for other purposes",https://collection.mndigital.org/catalog/nico:1626#creator_tesi,document_value,Minnesota Territorial Legislature,Creator,https://collection.mndigital.org/catalog/nico:1626#dat_tesi,document_value,1857,Date Created,https://collection.mndigital.org/catalog/nico:1626#description_ts,document_value,"This document contains the text of a bill that was passed by the Minnesota Territorial Legislature in 1857 to transfer the capital of Minnesota from St. Paul to St. Peter. This document has been determined to have been written at that time, but it is most likely a working copy of the document that was passed by the legislature.  Joseph Rolette, a member of the legislature who was opposed to the transfer of the capitol, disappeared with the original bill and failed to return it in time for it to be properly signed by Territorial Governor Willis Gorman, who had, in the meantime, signed a copy of the document that Rolette had taken.  Governor Gorman&#39;s action was declared to be illegal by a Judge R. R. Nelson, thus ending the attempt to move the capitol.",Description,https://collection.mndigital.org/catalog/nico:1626#contributing_organization_tesi,document_value,Nicollet County Historical Society,Contributing Institution,https://collection.mndigital.org/catalog/nico:1626#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/nico:1626#physical_format_tesi,document_value,Statutes,Format,https://collection.mndigital.org/catalog/nico:1626
p16022coll518:1125,Text,"&quot;A Birthright Restored&quot; or County Opinion - What It Is and How It Will Work, Minneapolis, Minnesota",https://collection.mndigital.org/catalog/p16022coll518:1125#creator_tesi,document_value,Minnesota Anti-Saloon League,Creator,https://collection.mndigital.org/catalog/p16022coll518:1125#dat_tesi,document_value,1911?,Date Created,https://collection.mndigital.org/catalog/p16022coll518:1125#description_ts,document_value,Pamphlet of an address given by P. J. Youngdahl. Youngdahl was the state superintendent for the Minnesota Anti-Saloon League.,Description,https://collection.mndigital.org/catalog/p16022coll518:1125#contributing_organization_tesi,document_value,Norwegian-American Historical Association,Contributing Institution,https://collection.mndigital.org/catalog/p16022coll518:1125#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/p16022coll518:1125#physical_format_tesi,document_value,Pamphlets,Format,https://collection.mndigital.org/catalog/p16022coll518:1125
mpls:27750,Text,"&quot;A Black Sheep&quot; theater program, Bijou Opera House, Minneapolis, Minnesota",https://collection.mndigital.org/catalog/mpls:27750#creator_tesi,document_value,Bijou Opera House,Creator,https://collection.mndigital.org/catalog/mpls:27750#dat_tesi,document_value,1898-01-02,Date Created,https://collection.mndigital.org/catalog/mpls:27750#description_ts,document_value,Theater program for a performance at the Bijou Opera House. Program includes advertisements for dozens of local businesses in Minneapolis and St. Paul.,Description,https://collection.mndigital.org/catalog/mpls:27750#contributing_organization_tesi,document_value,"Hennepin County Library, James K. Hosmer Special Collections Library",Contributing Institution,https://collection.mndigital.org/catalog/mpls:27750#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/mpls:27750#physical_format_tesi,document_value,Programs,Format,https://collection.mndigital.org/catalog/mpls:27750
mpls:27783,Text,"&quot;A Black Sheep&quot; theater program, Bijou Opera House, Minneapolis, Minnesota",https://collection.mndigital.org/catalog/mpls:27783#creator_tesi,document_value,Bijou Opera House,Creator,https://collection.mndigital.org/catalog/mpls:27783#dat_tesi,document_value,1898-01-02,Date Created,https://collection.mndigital.org/catalog/mpls:27783#description_ts,document_value,Theater program for a performance at the Bijou Opera House. Program includes advertisements for dozens of local businesses in Minneapolis and St. Paul.,Description,https://collection.mndigital.org/catalog/mpls:27783#contributing_organization_tesi,document_value,"Hennepin County Library, James K. Hosmer Special Collections Library",Contributing Institution,https://collection.mndigital.org/catalog/mpls:27783#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/mpls:27783#physical_format_tesi,document_value,Programs,Format,https://collection.mndigital.org/catalog/mpls:27783
mpls:17650,Text,"A Book of Machinery Supplies Tools for Railroads Factories Mines Steam Fitters Engineers Plumbers, from Gilmore-Rollins Company, Minneapolis, Minnesota",https://collection.mndigital.org/catalog/mpls:17650#creator_tesi,document_value,Gilmore-Rollins Company,Creator,https://collection.mndigital.org/catalog/mpls:17650#dat_tesi,document_value,1901,Date Created,https://collection.mndigital.org/catalog/mpls:17650#description_ts,document_value,"Illustrated trade catalog of supplies for steam fitters, engineers, threshers, railroads, factories, and mines. Items include wrought iron pipe, brass and iron valves, cast and malleable fittings, belting, packing, and hoses.",Description,https://collection.mndigital.org/catalog/mpls:17650#contributing_organization_tesi,document_value,"Hennepin County Library, James K. Hosmer Special Collections Library",Contributing Institution,https://collection.mndigital.org/catalog/mpls:17650#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/mpls:17650#physical_format_tesi,document_value,Catalogs,Format,https://collection.mndigital.org/catalog/mpls:17650
mpls:26748,Text,"&quot;A Bowery Girl&quot; theater program, Bijou Opera House, Minneapolis, Minnesota",https://collection.mndigital.org/catalog/mpls:26748#creator_tesi,document_value,Bijou Opera House,Creator,https://collection.mndigital.org/catalog/mpls:26748#dat_tesi,document_value,1895-05-05,Date Created,https://collection.mndigital.org/catalog/mpls:26748#description_ts,document_value,Theater program for a performance at the Bijou Opera House. Program includes advertisements for dozens of local businesses in Minneapolis and St. Paul.,Description,https://collection.mndigital.org/catalog/mpls:26748#contributing_organization_tesi,document_value,"Hennepin County Library, James K. Hosmer Special Collections Library",Contributing Institution,https://collection.mndigital.org/catalog/mpls:26748#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/mpls:26748#physical_format_tesi,document_value,Programs,Format,https://collection.mndigital.org/catalog/mpls:26748
mpls:27490,Text,"&quot;A Boy Wanted&quot; theater program, Bijou Opera House, Minneapolis, Minnesota",https://collection.mndigital.org/catalog/mpls:27490#creator_tesi,document_value,Bijou Opera House,Creator,https://collection.mndigital.org/catalog/mpls:27490#dat_tesi,document_value,1896-11-08,Date Created,https://collection.mndigital.org/catalog/mpls:27490#description_ts,document_value,Theater program for a performance at the Bijou Opera House. Program includes advertisements for dozens of local businesses in Minneapolis and St. Paul.,Description,https://collection.mndigital.org/catalog/mpls:27490#contributing_organization_tesi,document_value,"Hennepin County Library, James K. Hosmer Special Collections Library",Contributing Institution,https://collection.mndigital.org/catalog/mpls:27490#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/mpls:27490#physical_format_tesi,document_value,Programs,Format,https://collection.mndigital.org/catalog/mpls:27490
mpls:27702,Text,"&quot;A Boy Wanted&quot; theater program, Bijou Opera House, Minneapolis, Minnesota",https://collection.mndigital.org/catalog/mpls:27702#creator_tesi,document_value,Bijou Opera House,Creator,https://collection.mndigital.org/catalog/mpls:27702#dat_tesi,document_value,1897-10-24,Date Created,https://collection.mndigital.org/catalog/mpls:27702#description_ts,document_value,Theater program for a performance at the Bijou Opera House. Program includes advertisements for dozens of local businesses in Minneapolis and St. Paul.,Description,https://collection.mndigital.org/catalog/mpls:27702#contributing_organization_tesi,document_value,"Hennepin County Library, James K. Hosmer Special Collections Library",Contributing Institution,https://collection.mndigital.org/catalog/mpls:27702#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/mpls:27702#physical_format_tesi,document_value,Programs,Format,https://collection.mndigital.org/catalog/mpls:27702
mhd:8711,Text,"Abraham Schlagel&#39;s Civil War pension claim documents, St. Cloud, Minnesota",,,,,https://collection.mndigital.org/catalog/mhd:8711#dat_tesi,document_value,1890,Date Created,https://collection.mndigital.org/catalog/mhd:8711#description_ts,document_value,"Contains a claimant form, information sheet and letter related to Abraham Schlagel&#39;s Civil War pension claim.",Description,https://collection.mndigital.org/catalog/mhd:8711#contributing_organization_tesi,document_value,Northwest Minnesota Historical Center,Contributing Institution,https://collection.mndigital.org/catalog/mhd:8711#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/mhd:8711#physical_format_tesi,document_value,Government records,Format,https://collection.mndigital.org/catalog/mhd:8711
mpls:29059,Text,"&quot;A Brass Monkey&quot; theater program, Bijou Opera House, Minneapolis, Minnesota",https://collection.mndigital.org/catalog/mpls:29059#creator_tesi,document_value,Bijou Opera House,Creator,https://collection.mndigital.org/catalog/mpls:29059#dat_tesi,document_value,1901-02-24,Date Created,https://collection.mndigital.org/catalog/mpls:29059#description_ts,document_value,Theater program for a performance at the Bijou Opera House. Program includes advertisements for dozens of local businesses in Minneapolis and St. Paul.,Description,https://collection.mndigital.org/catalog/mpls:29059#contributing_organization_tesi,document_value,"Hennepin County Library, James K. Hosmer Special Collections Library",Contributing Institution,https://collection.mndigital.org/catalog/mpls:29059#type_tesi,document_value,Text,Type,https://collection.mndigital.org/catalog/mpls:29059#physical_format_tesi,document_value,Programs,Format,https://collection.mndigital.org/catalog/mpls:29059
