id,type,attributes/title,attributes/dat_tesi/id,attributes/dat_tesi/type,attributes/dat_tesi/attributes/value,attributes/dat_tesi/attributes/label,attributes/description_ts/id,attributes/description_ts/type,attributes/description_ts/attributes/value,attributes/description_ts/attributes/label,attributes/contributing_organization_tesi/id,attributes/contributing_organization_tesi/type,attributes/contributing_organization_tesi/attributes/value,attributes/contributing_organization_tesi/attributes/label,attributes/type_tesi/id,attributes/type_tesi/type,attributes/type_tesi/attributes/value,attributes/type_tesi/attributes/label,attributes/physical_format_tesi/id,attributes/physical_format_tesi/type,attributes/physical_format_tesi/attributes/value,attributes/physical_format_tesi/attributes/label,links/self
uma:80,Still Image,Bicycle Days in Minnesota,https://collection.mndigital.org/catalog/uma:80#dat_tesi,document_value,1897,Date Created,https://collection.mndigital.org/catalog/uma:80#description_ts,document_value,A group of students pose with bikes during Bicycle Days at the University of Minnesota.,Description,https://collection.mndigital.org/catalog/uma:80#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:80#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:80#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:80
uma:58,Still Image,Board of Regents of the University of Minnesota,https://collection.mndigital.org/catalog/uma:58#dat_tesi,document_value,1899,Date Created,https://collection.mndigital.org/catalog/uma:58#description_ts,document_value,The University of Minnesota Board of Regents stting at a table in an office in Old Main.,Description,https://collection.mndigital.org/catalog/uma:58#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:58#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:58#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:58
uma:57,Still Image,Cadet Corps at the University of Minnesota,https://collection.mndigital.org/catalog/uma:57#dat_tesi,document_value,1889,Date Created,https://collection.mndigital.org/catalog/uma:57#description_ts,document_value,A group photograph of the Cadet Corps at the University of Minnesota.,Description,https://collection.mndigital.org/catalog/uma:57#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:57#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:57#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:57
uma:56,Still Image,Company Q. in front of Drill Hall at the University of Minnesota,https://collection.mndigital.org/catalog/uma:56#dat_tesi,document_value,1889,Date Created,https://collection.mndigital.org/catalog/uma:56#description_ts,document_value,Women marching drills for military training.,Description,https://collection.mndigital.org/catalog/uma:56#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:56#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:56#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:56
uma:67,Still Image,"Covering harvested wheat St. Paul, Minnesota",https://collection.mndigital.org/catalog/uma:67#dat_tesi,document_value,1901,Date Created,https://collection.mndigital.org/catalog/uma:67#description_ts,document_value,A student covers harvested wheat at the Agricultural Experiment Station on the St. Paul campus.,Description,https://collection.mndigital.org/catalog/uma:67#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:67#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:67#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:67
uma:72,Still Image,Faculty of the University of Minnesota,https://collection.mndigital.org/catalog/uma:72#dat_tesi,document_value,1890,Date Created,https://collection.mndigital.org/catalog/uma:72#description_ts,document_value,A group photograph of the University of Minnesota faculty. Cyrus Northrop is in the center.,Description,https://collection.mndigital.org/catalog/uma:72#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:72#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:72#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:72
uma:63,Still Image,"First field meet, Minnesota",https://collection.mndigital.org/catalog/uma:63#dat_tesi,document_value,1893,Date Created,https://collection.mndigital.org/catalog/uma:63#description_ts,document_value,Students bicycle racing at the School of Agriculture at the University of Minnesota.,Description,https://collection.mndigital.org/catalog/uma:63#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:63#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:63#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:63
uma:70,Still Image,Football team of the University of Minnesota,https://collection.mndigital.org/catalog/uma:70#dat_tesi,document_value,1887,Date Created,https://collection.mndigital.org/catalog/uma:70#description_ts,document_value,A group photograph of the University of Minnesota football team. Alfred F. Pillbury is pictured.,Description,https://collection.mndigital.org/catalog/uma:70#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:70#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:70#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:70
uma:41,Still Image,"Gale, Harlow Stearns, 1862-1945",https://collection.mndigital.org/catalog/uma:41#dat_tesi,document_value,1896,Date Created,https://collection.mndigital.org/catalog/uma:41#description_ts,document_value,Harlow Stearns Gale of the University of Minnesota Department of Psychology sitting at his desk and reading a book.,Description,https://collection.mndigital.org/catalog/uma:41#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:41#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:41#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:41
uma:65,Still Image,"Hybridizing Flax, St. Paul, Minnesota",https://collection.mndigital.org/catalog/uma:65#dat_tesi,document_value,1901,Date Created,https://collection.mndigital.org/catalog/uma:65#description_ts,document_value,A man hybridizing flax in a field at the Agricultural Experiment Station.,Description,https://collection.mndigital.org/catalog/uma:65#contributing_organization_tesi,document_value,"University of Minnesota Libraries, University Archives",Contributing Institution,https://collection.mndigital.org/catalog/uma:65#type_tesi,document_value,Still Image,Type,https://collection.mndigital.org/catalog/uma:65#physical_format_tesi,document_value,Black-and-white photographs,Format,https://collection.mndigital.org/catalog/uma:65
